id,lat,long,timezone,yr,mon,day,hr,temp,rh,ws,prec,grass_fuel_load,percent_cured,solrad,sunrise,sunset,sunlight_hours,mcffmc,ffmc,dmc,dc,isi,bui,fwi,dsr,mcgfmc_matted,mcgfmc_standing,gfmc,gsi,gfwi,prec_cumulative,canopy_drying
PRF,45.996,-77.427,-4,2007,5,11,2,12.78,95.8,2.899,0.0,0.35,83.77,0.0,5.7243,20.4706,14.7463,21.6169,80.4575,8.5851,21.6421,1.3802,8.6209,0.7696,0.0171,26.2275,26.2575,75.5595,0.0,0.0,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,11,3,13.46,95.4,4.189,0.0,0.35,83.77,0.0,5.7243,20.4706,14.7463,22.7487,79.5258,8.5851,21.6421,1.337,8.6209,0.7455,0.0162,26.9534,26.9665,75.0035,0.0,0.0,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,11,4,12.54,98.0,2.675,0.0,0.35,83.77,0.0,5.7243,20.4706,14.7463,24.0639,78.4586,8.5851,21.6421,1.1205,8.6209,0.6248,0.0118,28.2646,28.2707,74.0559,0.0,0.0,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,11,5,11.05,99.8,3.53,0.0,0.35,83.77,0.0,5.7243,20.4706,14.7463,25.5192,77.2967,8.5851,21.6421,1.0628,8.6209,0.5927,0.0108,29.745,29.7479,72.9683,0.0,0.0,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,11,6,11.22,99.8,4.528,0.0,0.35,83.77,0.0002,5.7243,20.4706,14.7463,26.7184,76.3539,8.5856,21.9979,1.0444,8.6911,0.5849,0.0105,30.434,30.4423,72.4619,0.0,0.0,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,11,7,13.19,92.4,7.526,0.0,0.35,83.77,0.0416,5.7243,20.4706,14.7463,26.7184,76.3539,8.6079,22.3833,1.2148,8.7772,0.6838,0.0139,29.5866,30.2254,73.0404,0.0,0.0,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,11,8,14.04,89.1,9.25,0.0,0.35,83.77,0.1097,5.7243,20.4706,14.7463,26.5555,76.4812,8.6419,22.7814,1.3365,8.871,0.7565,0.0166,27.1446,29.3796,74.7856,0.0,0.0,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,11,9,14.61,87.6,8.08,0.0,0.35,83.77,0.1796,5.7243,20.4706,14.7463,26.317,76.6681,8.6821,23.1881,1.2764,8.9689,0.7266,0.0155,24.3342,28.4457,76.8774,0.0,0.0,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,11,10,14.1,81.1,9.8,0.0,0.35,83.77,0.3029,5.7243,20.4706,14.7463,25.7137,77.143,8.7412,23.5871,1.4408,9.0748,0.8253,0.0194,20.8883,26.5971,79.395,4.3475,13.749,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,11,11,14.17,63.28,11.33,0.0,0.35,83.77,0.5255,5.7243,20.4706,14.7463,24.1534,78.3867,8.8568,23.9871,1.7221,9.211,0.9942,0.0269,16.1606,22.7753,82.8168,13.019,21.5833,0.0,0.0
